,BAC009S0251W0448,BAC009S0251W0491,BAC009S0251W0312,BAC009S0251W0151,BAC009S0096W0165,BAC009S0096W0490,BAC009S0096W0195,BAC009S0096W0280,BAC009S0160W0485,BAC009S0160W0194,BAC009S0160W0451,BAC009S0160W0325,BAC009S0166W0209,BAC009S0166W0230,BAC009S0166W0336,BAC009S0166W0315,BAC009S0248W0352,BAC009S0248W0126,BAC009S0248W0291,BAC009S0248W0414,BAC009S0230W0265,BAC009S0230W0474,BAC009S0230W0135,BAC009S0230W0354,BAC009S0192W0132,BAC009S0192W0399,BAC009S0192W0398,BAC009S0192W0240,BAC009S0124W0483,BAC009S0124W0306,BAC009S0124W0400,BAC009S0124W0165,BAC009S0340W0385,BAC009S0340W0179,BAC009S0340W0134,BAC009S0340W0384,BAC009S0517W0135,BAC009S0517W0365,BAC009S0517W0447,BAC009S0517W0188,BAC009S0194W0302,BAC009S0194W0416,BAC009S0194W0133,BAC009S0194W0370,BAC009S0655W0471,BAC009S0655W0495,BAC009S0655W0254,BAC009S0655W0238,BAC009S0040W0329,BAC009S0040W0300,BAC009S0040W0483,BAC009S0040W0244,BAC009S0722W0415,BAC009S0722W0274,BAC009S0722W0232,BAC009S0722W0167,BAC009S0731W0383,BAC009S0731W0478,BAC009S0731W0163,BAC009S0731W0434,BAC009S0748W0421,BAC009S0748W0164,BAC009S0748W0266,BAC009S0748W0327
S0040,0.37018657,0.33924246,0.30625585,0.28256288,0.1238135,0.1480606,0.17174807,0.19214296,0.06823114,0.08690612,0.09110946,0.18999183,0.23187327,0.26322585,0.18065244,0.25673604,0.22855681,0.3140957,0.22589973,0.32352692,0.15970883,0.10923853,0.1054126,0.1412527,0.06771673,0.049384743,0.1824018,0.20849216,0.16526365,0.052545197,0.07982944,0.09706603,0.08839309,0.02527124,0.10733882,0.15277052,0.104970805,0.015244789,0.11248329,0.26765195,0.114317715,0.16399099,0.11420245,0.12652679,0.1950991,0.15755503,0.1908633,0.222199,0.800007,0.79881716,0.71406853,0.7630694,0.28334692,0.4576162,0.47710732,0.4872617,0.32836294,0.28095227,0.31819326,0.3003983,0.12997115,0.19856003,0.19084297,0.09462028
S0096,0.0584886,-0.046395384,0.091078594,0.030259825,0.80444217,0.88377523,0.8193073,0.9016137,0.026747162,0.04103688,0.046203844,0.0942346,0.07267442,0.054606482,0.084432475,0.09829367,0.074784175,0.2046946,0.17608611,0.24687943,0.24187702,0.035288155,0.1127009,0.100820616,0.12078907,0.14370073,0.073853165,0.12052084,0.100111485,0.13818318,0.23817027,0.13117537,0.110578775,0.045683257,0.14511049,0.14058676,0.11623667,0.111943536,0.19755057,0.15275088,-0.016132228,0.04432028,0.051623154,0.13733442,0.24387701,0.18519954,0.24538177,0.2531578,0.13731094,0.20139244,0.28734887,0.13680008,0.17122473,0.22625642,0.25596407,0.094921015,0.05893905,0.10190603,0.057062082,-0.021073591,0.0905481,0.14798878,0.12982129,0.15762961
S0124,0.22358218,0.15785024,0.19660258,0.1721833,0.18917656,0.11268596,0.20317337,0.18070865,0.18130812,0.12881592,0.18802355,0.19667205,0.0628141,0.3589794,0.23173377,0.2623927,0.23568499,0.1854809,0.04915544,0.17288542,0.2132441,0.121757105,0.18898545,0.162974,0.27453688,0.3386857,0.41092902,0.38155407,0.77353495,0.64845294,0.7427262,0.7724091,0.13624744,0.083596006,0.124664724,0.03053886,0.21933019,0.13762361,0.17550679,0.22201428,0.34964463,0.34594968,0.2848817,0.31754684,0.3376149,0.34538835,0.2803482,0.3238718,0.16231424,0.21967958,0.1276869,0.20822993,0.1739605,0.18978618,0.2381675,0.19117332,0.115290016,0.11015582,0.09985473,0.09721837,0.30051804,0.4272992,0.29285866,0.29523325
S0160,0.10423323,0.0342767,0.16556184,0.04888995,0.069448255,0.105384655,0.054349467,0.091966726,0.6961933,0.83709455,0.72078896,0.7337724,0.14656734,0.12810254,0.16382992,0.26887575,0.03548091,0.04526543,0.019751495,0.1211395,0.25683457,0.3328842,0.22107355,0.248673,0.30196202,0.29932344,0.34957477,0.34184545,0.17015256,0.07817882,0.29865867,0.17420977,0.20029709,0.19375731,0.18644519,0.25087216,0.18523078,0.05913105,0.24214014,0.17260934,0.32837805,0.2794634,0.3247934,0.2734185,0.34568024,0.19129673,0.26895595,0.29941675,0.1022136,0.10592901,0.088496,0.084278494,0.02545474,0.06625326,0.0515975,0.13518713,0.14528748,0.085125394,0.11396082,0.1057237,0.10150031,0.20820941,0.21307997,0.18803102
S0166,0.16238834,0.18021075,0.15811707,0.1689816,0.11071895,0.08904588,0.17777106,0.17898381,0.2783449,0.1762327,0.26299018,0.34701353,0.6371503,0.7477033,0.7117392,0.6095611,0.1509332,0.07873764,0.017626032,0.19463593,0.19629346,0.15804517,0.1600138,0.17557228,0.25167727,0.25234827,0.31860754,0.25127453,0.2792244,0.32596362,0.33679894,0.28851527,0.2855758,0.20951535,0.27473104,0.28917056,0.18217184,0.09451158,0.08192059,0.28476873,0.43050373,0.41404837,0.3924227,0.27308673,0.3032831,0.27205947,0.25919777,0.21545592,0.20499709,0.22996363,0.17926373,0.24272235,0.20134407,0.23626378,0.21436496,0.3199833,0.1911121,0.17479752,0.15932465,0.23786779,0.16405803,0.0891389,0.12885004,0.07402198
S0192,0.17889981,0.10050523,0.15293494,0.14007375,0.12190804,0.10546714,0.05794327,0.13081771,0.19796008,0.21351062,0.2963274,0.26635134,0.2445532,0.2961247,0.2789866,0.27469096,0.09393206,0.1636233,0.094751306,0.20395355,0.2612101,0.24795368,0.32618785,0.33274308,0.75940216,0.7152729,0.7621118,0.705923,0.34967855,0.277826,0.34842476,0.37949556,0.088164136,0.15247187,0.087585166,0.050469913,0.33672804,0.22437303,0.2427418,0.36146617,0.46032417,0.46614274,0.375385,0.42900386,0.41306186,0.35688978,0.41530514,0.35885596,0.16320072,0.12044228,0.07867472,0.19031875,0.1704806,0.13062799,0.17279068,0.15564889,0.067326374,0.1364395,0.052645624,0.098627985,0.26227078,0.22966467,0.19451335,0.2885226
S0194,0.122404575,0.123565584,0.08947223,0.09196348,0.096608244,0.027533893,0.098479435,0.08146457,0.26288635,0.3260204,0.2848581,0.45711088,0.26054615,0.32594213,0.2534114,0.38141036,0.11292924,0.09048037,0.031758014,0.1247331,0.14754745,0.15360725,0.11736498,0.18683422,0.45927295,0.41450533,0.54829496,0.51377547,0.2665304,0.301975,0.38446546,0.35849547,0.27436906,0.2509348,0.22269538,0.2232391,0.20210207,0.10117318,0.18035999,0.28179246,0.827523,0.7534176,0.7295197,0.7033445,0.3555429,0.23491652,0.26557177,0.2674451,0.20415035,0.17921987,0.1293613,0.1947474,0.17700517,0.14892438,0.18224165,0.21510893,0.0786856,0.15409184,0.056244932,0.12202497,0.12032184,0.081125945,0.11049235,0.019541588
S0230,0.08963351,0.10327067,0.096221745,0.09104382,0.15547317,0.14952254,0.13858528,0.13817777,0.19609183,0.16525376,0.12760389,0.22175258,0.24719335,0.26336554,0.29640996,0.12597707,0.11429021,0.21099213,0.038873363,0.11918896,0.74917364,0.62249756,0.81365633,0.79790026,0.27958292,0.3929369,0.34554422,0.25913596,0.18364549,0.18608686,0.2647523,0.18693927,-0.014659587,0.00186182,0.034825973,-0.052228387,0.14747128,0.18121886,0.06352722,0.21758273,0.06280511,-0.011865765,0.12359864,-0.0041822977,0.305438,0.2698211,0.37671876,0.36019313,0.113074526,0.17111042,0.16290508,0.15101802,0.081020065,0.091669634,0.105801195,0.10202529,0.096432626,0.13614851,0.034412157,0.07571931,0.39822617,0.3743255,0.35877493,0.49399158
S0248,0.3008415,0.28045237,0.23777664,0.25225297,0.2896306,0.2817844,0.25690597,0.22151347,0.015927223,0.07447506,0.07745641,0.07648803,0.19980778,0.19078705,0.09388919,0.13911936,0.6890281,0.75279856,0.6707022,0.6156211,0.12134777,0.13762623,0.07649299,0.13468206,0.11990025,0.1581947,0.118429415,0.15116245,0.14332683,0.1435931,0.24157771,0.13980521,0.09922272,-0.002756578,0.07310547,0.06184072,0.16330333,0.09361893,0.17244661,0.24318045,0.1939865,0.15625657,0.16793014,0.09945244,0.3319077,0.2771245,0.27227718,0.31475994,0.29245603,0.32280385,0.17308326,0.2760485,0.22956765,0.3052476,0.32528868,0.30689484,0.23702878,0.24826992,0.31902814,0.22499123,0.18194583,0.18908632,0.2555525,0.19451481
S0251,0.8515903,0.80811393,0.77672076,0.78433675,0.0063988864,-0.09233815,0.10074441,0.060547106,0.16437747,0.051781833,0.10075138,0.08297893,0.20019388,0.1978536,0.17479186,0.091534406,0.32261905,0.22932099,0.26368687,0.24743262,0.006938398,0.08701013,0.063743986,0.079890296,0.10409263,0.052528873,0.13974494,0.14820233,0.2123051,0.09263512,0.20839229,0.17608829,0.07980564,0.034153134,0.13795838,0.06395466,0.085498296,-0.040369347,0.08243179,0.15435262,0.15118374,0.11622642,0.11390777,0.07389866,0.097482435,0.13029423,0.09551695,0.06737937,0.38912094,0.511083,0.34490705,0.36951524,0.18524593,0.3465033,0.33146906,0.3022687,0.21310186,0.117062956,0.20508635,0.25394607,0.12596135,0.10868673,0.12734433,0.17678775
S0340,0.06063739,0.010820221,0.117989235,-0.023275401,0.26110587,0.28096133,0.2732457,0.2655502,0.305302,0.24850944,0.3125383,0.3102723,0.14929517,0.21367937,0.14052784,0.24188282,0.010189526,0.085886136,0.06059021,0.13052848,0.24328202,0.14553793,0.05813448,0.20366944,0.124660894,0.14987512,0.21208349,0.26077908,0.06927781,0.026357584,0.12687048,0.011775554,0.70459914,0.6696588,0.5912298,0.7690478,0.17264134,0.087938026,0.2175094,0.22118309,0.24721707,0.2871449,0.30497283,0.26089877,0.39233428,0.27033406,0.3468967,0.29334423,0.10221599,0.10188216,0.08708281,0.18976524,0.11239881,0.22167757,0.21441317,0.16757797,0.06802312,0.07997991,0.080763444,0.10066805,0.027344447,0.12970528,-0.0028325412,0.08273852
S0517,0.08666116,0.04113917,0.12595236,0.099615395,0.18859649,0.12683743,0.15988562,0.16053228,0.20834917,0.20919518,0.23404598,0.21621491,0.10921019,0.12653422,0.18018146,0.05266431,0.21804532,0.13378584,0.16476393,0.24368247,0.18051843,0.050014406,0.28941512,0.20663351,0.3305415,0.3114553,0.22176655,0.26701316,0.24695839,0.22440799,0.26214945,0.28444964,0.20960878,0.13528882,0.117253914,0.1295867,0.7412393,0.6975156,0.67970806,0.72818184,0.22706515,0.18493363,0.23155487,0.1844618,0.48079777,0.47112137,0.5149305,0.5113714,0.18316215,0.13362515,0.1933074,0.12664527,0.10806553,0.10028544,0.09678249,0.17027259,0.08534753,0.14361432,0.12182489,0.088767864,0.3110168,0.36297727,0.36411732,0.39184102
